# Opcode List for Skysong && ASMule
# made by Gynvael Coldwind & j00ru
# http://gynvael.coldwind.pl/
# http://j00ru.vexillium.org/
#
# Notes:
#   there are opcodes 80, 81, 83.. where is 82???
#   think what to do with the CDW/CDQ and CBW/CWDE case
#   check if LODS has ModR/M
# 
# Mnem        Opcodes   Len  ModR/M    OpReg     Arg1      Arg2      Arg3
# -----------------------------------------------------------------------

  AAA         37        8    -         -         -         -         -
  AAD         D50A     16    -         -         -         -         -
  AAM         D40A     16    -         -         -         -         -
  AAS         3F        8    -         -         -         -         -
  ADC         14        8    -         -         AL        imm8      -
  ADC         15        8    -         -         EAX       imm32     -
  ADC         80        8    yes       2         r/m8      imm8      -
  ADC         81        8    yes       2         r/m32     imm32     -
  ADC         83        8    yes       2         r/m32     imm8      -
  ADC         10        8    yes       -         r/m8      reg8      -
  ADC         11        8    yes       -         r/m32     reg32     -
  ADC         12        8    yes       -         reg8      r/m8      -
  ADC         13        8    yes       -         reg32     r/m32     -
  ADD         04        8    -         -         AL        imm8      -
  ADD         05        8    -         -         EAX       imm32     -
  ADD         80        8    yes       0         r/m8      imm8      -
  ADD         81        8    yes       0         r/m32     imm32     -
  ADD         83        8    yes       0         r/m32     imm8      -
  ADD         00        8    yes       -         r/m8      reg8      -
  ADD         01        8    yes       -         r/m32     reg32     -
  ADD         02        8    yes       -         reg8      r/m8      -
  ADD         03        8    yes       -         reg32     r/m32     -
  AND         24        8    -         -         AL        imm8      -
  AND         25        8    -         -         EAX       imm32     -
  AND         80        8    yes       4         r/m8      imm8      -
  AND         81        8    yes       4         r/m32     imm32     -
  AND         83        8    yes       4         r/m32     imm8      -
  AND         20        8    yes       -         r/m8      reg8      -
  AND         21        8    yes       -         r/m32     reg32     -
  AND         22        8    yes       -         reg8      r/m8      -
  AND         23        8    yes       -         reg32     r/m32     -
  ARPL        63        8    yes       -         r/m16     reg16     -
  BOUND       62        8    yes       -         reg32     m32&32    -
  BSF         0FBC     16    yes       -         reg32     r/m32     -
  BSR         0FBD     16    yes       -         reg32     r/m32     -
  BSWAP       0FC8     13    -         -         reg32     -         -
  BT          0FA3     16    yes       -         r/m32     reg32     -
  BT          0FBA     16    yes       4         r/m32     imm8      -
  BTC         0FBB     16    yes       -         r/m32     reg32     -
  BTC         0FBA     16    yes       7         r/m32     imm8      -
  BTR         0FB3     16    yes       -         r/m32     reg32     -
  BTR         0FBA     16    yes       6         r/m32     imm8      -
  BTS         0FAB     16    yes       -         r/m32     reg32     -
  BTS         0FBA     16    yes       5         r/m32     imm8      -
  CALL        E8        8    -         -         rel32     -         -
  CALL        FF        8    yes       2         r/m32     -         -
  CALL        9A        8    -         -         ptr16:32  -         -
  CALL        FF        8    yes       3         m16:32    -         -
  CBW         98        8    -         -         -         -         -
# CWDE        98        8    -         -         -         -         -
